description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Traces the emergence and development of various Chesapeake societies and institutions, situating them in broader Atlantic contexts. Through the lens of archaeology, examine the complex histories of interaction, cultural and biological exchanges between Natives, Europeans and Africans from first contact to the present. Explore topics such as colonialism, capitalism, enslavement and the rise of the Atlantic plantation complex.",300,HIST,"Archaeology of the Chesapeake in the Atlantic World",3.48,77.00,7.00,4.00,4.00,7.00,4.00,30
"Survey of England and Great Britain from the reign of Queen Anne to the present, emphasizing institutional growth and development, the expansion of the empire and Britain's rise to a major world power.",311,HIST,"History of England And Great Britain, 1702 to the Present",2.30,5.00,38.00,30.00,5.00,9.00,17.00,24
"Study of the French Revolution and the Napoleonic period.",326,HIST,"The French Revolution and Napoleon, 1789-1815",2.65,27.00,32.00,16.00,6.00,11.00,11.00,19
"Economic, social, cultural and political study of the evolution of Japan from a traditional, isolated and closed society to a Westernized superpower. Emphasis on the 19th and 20th centuries.",364,HIST,"Modern Japan",3.17,43.00,39.00,13.00,0.00,5.00,3.00,90
"Introduces the student to major figures in classical Greek and Roman mythology and demonstrates the interconnectedness of classical mythology and history from ancient times until the present. A general knowledge of classical mythology is indispensable for an understanding of social and political history of both the ancient and modern worlds. Also, without this knowledge, much of literature and art, past and present, would remain unintelligible.",371,HIST,"Introduction to Classical Mythology",3.17,43.00,31.00,15.00,2.00,4.00,8.00,89
"Charts the course of the women's movement in 20th-century America, examining the relationship between organized feminism and changes in public and private lives of women from different class, racial and ethnic backgrounds.",378,HIST,"Women in Modern America",3.19,46.00,33.00,10.00,2.00,5.00,6.00,110
"Military history enables students to understand better the role played by the armed forces in American society today through a study of the origins and development of military institutions, traditions and practices in the United States, 1775 to the present.",380,HIST,"The American Military Experience",3.41,55.00,32.00,11.00,0.00,2.00,2.00,82
"Studies of American thought as reflected by the people and leaders. Development of American heritage from the colonial period to the present, emphasizing the intellectual, social, religious and economic movements. The first course covers from the colonial period to reconstruction and the second course from about 1876 to present.",413,HIST,"Social and Cultural History of the United States II",3.19,38.00,50.00,7.00,7.00,0.00,0.00,16
"Explores African-American history from the Colonial period to 1865. Focuses on the beginnings of enslavement, the development of the slavery institution and the role of African Americans in the Civil War.",444,HIST,"African-American History to 1865",2.91,22.00,46.00,11.00,6.00,3.00,14.00,37
"Through class discussions, students will gain an understanding of the natural history of Delmarva and Chesapeake, the changing patterns of land and resource use, environmental conflicts, the growth of 20th century conservation efforts and the implication of burgeoning growth in the Eastern metropolitan corridor of Delmarva. This course draws upon the resources of the Salisbury area through local speakers, environmental activists, foresters, authors and farmers. The course will utilize: the Ward Museum of Wildfowl Art, the Nanticoke Indian Museum, Furnace Town, Wye Island NWMA, Pemberton Park, and Crisfield and Smith islands. Research paper is required.",483,HIST,"Enviromental History of Delmarva",3.29,50.00,43.00,0.00,0.00,8.00,0.00,14
"Designates the Honors thesis consultation with thesis director and committee.",496,HONR,"Honors Thesis Consultation",0.00,0.00,0.00,0.00,0.00,34.00,67.00,12
"Advanced study of varying information systems topics based on students' interests and needs. May substitute for an information systems major elective.",338,INFO,"Special Topics",3.73,67.00,25.00,0.00,0.00,0.00,9.00,12
"Using mobile development platforms, build and deploy hybrid mobile applications that are designed to execute across a variety of smart devices, with particular emphasis on the development of enterprise applications that extract and deploy data from business information systems, web services and other organizational level data sources.",401,INFO,"Mobile Enterprise Application Development",3.65,71.00,24.00,3.00,3.00,0.00,2.00,92
"Study of technical topics related to computer systems. Emphasis is placed on hardware architecture, operating systems, basic networking and application software compatibilities issues.",450,INFO,"Computer Hardware and OS Technologies",2.82,20.00,48.00,21.00,2.00,5.00,7.00,73
"Introduction to basic financial mathematics focusing on equivalent rates of interest and their use in discounted cashflow analysis. Topics include annuities, loans, projects, bonds, duration and convexity, the yield curve, and the fundamentals of financial derivatives such as European call and put options.",215,MATH,"Introduction to Financial Mathematics",2.61,24.00,21.00,31.00,3.00,7.00,17.00,86
"Designed for students majoring and minoring in mathematics. Students experience the power of mathematical thought and develop facility with mathematical expression, both written and oral. Assignments make use of both inductive and deductive reasoning.",300,MATH,"Introduction to Abstract Mathematics",3.67,71.00,25.00,5.00,0.00,0.00,0.00,24
"Basic concepts: integers, prime numbers, divisibility, congruencies and residues.",402,MATH,"Theory of Numbers",2.90,49.00,3.00,26.00,3.00,9.00,12.00,35
"Axiomatic development of incidence, ordered incidence, affine and absolute geometries; investigation of Euclidean and non-Euclidean geometries; and the use of dynamic geometry software.",406,MATH,"Geometric Structures",3.24,53.00,25.00,14.00,0.00,6.00,5.00,220
"Introduction to models of survival, individual life insurance and life annuities emphasizing the traditional actuarial functions of determining premiums and reserves from a stochastic point of view. Topics include multiple life theory, models with expenses, stochastic process, and the use of binomial models, geometric Brownian motion and simulation in the study of option pricing.",415,MATH,"Actuarial and Financial Methods",3.35,42.00,46.00,9.00,0.00,0.00,5.00,48
